type,year,condition,length_ft,beam_ft,hullMaterial,fuelType,numEngines,totalHP,price
1,2019,1,20,8,1,1,1,0,21163
1,2020,1,24,8.5,1,3,1,0,195111
1,2018,1,22,16.13,1,1,1,0,32971
1,1988,2,28,9.75,1,3,1,0,20000
1,2003,2,18,16.13,1,3,1,0,9995
1,2018,2,22,8.33,1,3,1,0,41495
1,2020,1,19,8.17,1,1,1,0,35788
1,2005,2,52,15.5,1,3,2,0,409000
1,2005,2,26,16.13,1,3,1,0,34995
1,2007,2,21,8,1,3,1,0,29495
1,2012,2,36,11.25,1,3,2,0,194999
1,2004,2,32,16.13,1,1,2,0,74900
1,1986,2,32,16.13,1,3,2,0,21995
